strategy,group,status,start,end,observations,total_return,annualized_return,max_drawdown,sharpe,win_rate,profit_loss_ratio,trade_count,notes
benchmark_btc_buy_hold,benchmark,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,0.5345529850014703,2.074870431198131,-0.31599299023010574,1.1927084710100646,0.0,0.0,0,BTC buy-and-hold benchmark aligned to BTC strategy window
trend,btc_single_asset,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,0.0034291128209433808,0.009019541928658725,-0.00013087911571141309,1.6389210955863585,0.16666666666666666,191.26001771093087,12,"BTC/USDT spot, 1H confirmed candles, next-bar open execution"
mean_reversion,btc_single_asset,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,-9.591143405818237e-06,-2.5157183938806504e-05,-2.0390398197345228e-05,-0.8301544912451199,0.125,4.054200606995691,8,"BTC/USDT spot, 1H confirmed candles, next-bar open execution"
trend_mr,btc_single_asset,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,0.0033997817542388287,0.008942180326254823,-0.00016010612089378817,1.6248836855906215,0.16666666666666666,145.0335358357118,12,"BTC/USDT spot, 1H confirmed candles, next-bar open execution"
vol_trend,btc_single_asset,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,0.003390606820339759,0.008917981905781192,-0.00029054131406702766,1.61396445273865,0.125,760.6456755470034,8,"BTC/USDT spot, 1H confirmed candles, next-bar open execution"
donchian_breakout,btc_single_asset,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,-2.9134271844810655e-05,-7.641681299497272e-05,-3.086388185780109e-05,-1.5026626016050502,0.0,0.0,4,"BTC/USDT spot, 1H confirmed candles, next-bar open execution"
rsi_bollinger_reversion,btc_single_asset,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,-9.591143405818237e-06,-2.5157183938806504e-05,-2.0390398197345228e-05,-0.8301544912451199,0.125,4.054200606995691,8,"BTC/USDT spot, 1H confirmed candles, next-bar open execution"
btc_volatility_breakout,btc_single_asset,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,-1.2536693112630282e-05,-3.2883163915475855e-05,-1.5355687578155752e-05,-2.028313295480898,0.14285714285714285,0.33462644213861603,7,"BTC/USDT spot, 1H confirmed candles, next-bar open execution"
btc_realized_volatility_targeting,btc_single_asset,ok,2024-01-03T01:00:00+00:00,2026-06-05T02:00:00+00:00,3343,-4.798919596615825e-05,-0.00012586981143747344,-5.1294669064394505e-05,-2.5510221826428605,0.0,0.0,4,"BTC/USDT spot, 1H confirmed candles, next-bar open execution"
benchmark_btc_buy_hold_common,benchmark,ok,2026-04-03T04:00:00+00:00,2026-05-26T11:00:00+00:00,1280,0.16394072952682226,1.8305865651515894,-0.09576627440145324,3.188468839232616,0.0,0.0,0,BTC buy-and-hold benchmark on common portfolio window
benchmark_equal_weight_spot,benchmark,ok,2026-04-03T04:00:00+00:00,2026-05-26T11:00:00+00:00,1280,0.3490456584890427,6.783512145304353,-0.12554107046305762,4.382622494900427,0.0,0.0,0,Equal-weight spot universe benchmark on common portfolio window
cross_sectional_momentum,portfolio_research,ok,2026-04-03T03:00:00+00:00,2026-06-05T01:00:00+00:00,1511,0.4309425026324616,7.006323846166357,-0.28094302554027484,2.354431628631071,0.4444444444444444,2.9054698772187666,18,"symbols=10, lookback=720, hold=168, top_n=1"
adaptive_trend,portfolio_research,ok,2026-04-03T03:00:00+00:00,2026-06-05T01:00:00+00:00,1511,0.0978027545532496,0.7189202665883205,-0.04207382167868812,2.8040321530874017,0.5882352941176471,2.7852575485154545,34,"symbols=10, lookback=720, hold=168, top_n=2"
funding_carry,portfolio_research,ok,2026-02-21T22:00:00+00:00,2026-05-26T11:00:00+00:00,852,0.16192780126329454,0.6741701565967524,-0.38204908366449786,2.6643136794012734,0.0,0.0,310,"symbols=8, lookback_periods=3, hold_periods=1, top_n=2"
btc_eth_cointegration_pairs,portfolio_research,ok,2026-04-03T04:00:00+00:00,2026-06-05T01:00:00+00:00,1510,0.003838839425595708,0.022507231008895845,-0.026663260754877016,0.38527738303618136,0.6666666666666666,1.095318846890154,417,"lookback=720, entry_z=2.0, exit_z=0.5"
