strategy,group,status,start,end,observations,total_return,annualized_return,max_drawdown,sharpe,win_rate,profit_loss_ratio,trade_count,notes
benchmark_btc_buy_hold,benchmark,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-0.2985321086528627,-0.6234945027565164,-0.31599299023010574,-1.7673126335395346,0.0,0.0,0,BTC buy-and-hold on the same continuous BTC window
trend,btc_single_asset,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-4.200085933114828e-05,-0.00011570269154692614,-5.087288796523648e-05,-2.0703325958185315,0.0,0.0,4,BTC continuous segment only; next-bar open execution
mean_reversion,btc_single_asset,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-2.0390618402976735e-05,-5.617252135259321e-05,-2.0390618402976735e-05,-2.714774088104874,0.0,0.0,4,BTC continuous segment only; next-bar open execution
trend_mr,btc_single_asset,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-4.200085933114828e-05,-0.00011570269154692614,-5.087288796523648e-05,-2.0703325958185315,0.0,0.0,4,BTC continuous segment only; next-bar open execution
vol_trend,btc_single_asset,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-4.200085933114828e-05,-0.00011570269154692614,-5.087288796523648e-05,-2.0703325958185315,0.0,0.0,4,BTC continuous segment only; next-bar open execution
donchian_breakout,btc_single_asset,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-1.5297342086384447e-05,-4.2141640740123165e-05,-1.5297342086384447e-05,-2.309909233843102,0.125,1.0750102001322344,8,BTC continuous segment only; next-bar open execution
rsi_bollinger_reversion,btc_single_asset,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-2.0390618402976735e-05,-5.617252135259321e-05,-2.0390618402976735e-05,-2.714774088104874,0.0,0.0,4,BTC continuous segment only; next-bar open execution
btc_volatility_breakout,btc_single_asset,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-1.2536693112630282e-05,-3.453659426477795e-05,-1.5355687578155752e-05,-2.078675822280537,0.14285714285714285,0.33462644213861603,7,BTC continuous segment only; next-bar open execution
btc_realized_volatility_targeting,btc_single_asset,ok,2026-01-23T12:00:00+00:00,2026-06-05T02:00:00+00:00,3183,-0.00010871185231697833,-0.0002994585790424553,-0.00013870230940626893,-1.8937330504063787,0.0,0.0,4,BTC continuous segment only; next-bar open execution
benchmark_btc_buy_hold_common,benchmark,ok,2026-04-03T04:00:00+00:00,2026-05-26T11:00:00+00:00,1280,0.1639407295268222,1.8305865651515896,-0.0957662744014532,3.188468839232616,0.0,0.0,0,BTC buy-and-hold benchmark on common portfolio window
benchmark_equal_weight_spot,benchmark,ok,2026-04-03T04:00:00+00:00,2026-05-26T11:00:00+00:00,1280,0.3490456584890427,6.783512145304353,-0.1255410704630576,4.382622494900427,0.0,0.0,0,Equal-weight spot universe benchmark on common portfolio window
cross_sectional_momentum,portfolio_research,ok,2026-04-03T03:00:00+00:00,2026-06-05T01:00:00+00:00,1511,0.4309425026324616,7.006323846166357,-0.2809430255402748,2.354431628631071,0.4444444444444444,2.9054698772187666,18,"symbols=10, lookback=720, hold=168, top_n=1"
adaptive_trend,portfolio_research,ok,2026-04-03T03:00:00+00:00,2026-06-05T01:00:00+00:00,1511,0.0978027545532496,0.7189202665883205,-0.0420738216786881,2.8040321530874017,0.5882352941176471,2.7852575485154545,34,"symbols=10, lookback=720, hold=168, top_n=2"
funding_carry,portfolio_research,ok,2026-02-21T22:00:00+00:00,2026-05-26T11:00:00+00:00,852,0.1619278012632945,0.6741701565967524,-0.3820490836644978,2.6643136794012734,0.0,0.0,310,"symbols=8, lookback_periods=3, hold_periods=1, top_n=2"
btc_eth_cointegration_pairs,portfolio_research,ok,2026-04-03T04:00:00+00:00,2026-06-05T01:00:00+00:00,1510,0.0038388394255957,0.0225072310088958,-0.026663260754877,0.3852773830361813,0.6666666666666666,1.095318846890154,417,"lookback=720, entry_z=2.0, exit_z=0.5"
