N,seed,instance_id,fcp_oos,bsp_oos,cpbsd_a_oos,anchored_oos,delta_anchored_fcp,delta_anchored_bsp,delta_anchored_cpbsd_a,anchored_feasible,anchored_status,anchored_ins_objective,anchored_runtime,anchored_wall_time_total,protected_customer_count,protection_constraint_count,strict_protection_constraint_count,protected_bsp_choice_count,anchored_oos_fcp,anchored_oos_bsp,anchored_oos_outside
10,20260413,cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,2.200927661817409,2.3022805249552345,2.8092028620405793,2.200927661817421,1.199040866595169e-14,-0.10135286313781355,-0.6082752002231584,True,2,3.2455122984617653,0.018805980682373047,0.17124199867248535,45,450,450,0,3557,0,1443
10,20260414,cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,2.3491431138431675,2.3336735430948012,2.8300788434859534,2.3491431138432204,5.284661597215745e-14,0.015469570748419148,-0.480935729642733,True,2,3.1466752164643865,0.022424936294555664,0.15681791305541992,41,410,410,0,3504,0,1496
10,20260415,cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,2.2030116787070524,2.290546904797613,2.910396825357271,2.2030116787070195,-3.2862601528904634e-14,-0.08753522609059328,-0.7073851466502514,True,2,3.249749766547625,0.01806807518005371,0.16489100456237793,45,450,450,0,3239,0,1761
10,20260416,cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,2.3266622172206315,2.443839683392092,2.863938517083682,2.326662217220603,-2.842170943040401e-14,-0.11717746617148883,-0.5372762998630791,True,2,3.0501934354766673,0.02075791358947754,0.14484310150146484,43,430,430,0,3749,0,1251
10,20260417,cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,2.311569164486051,2.3644555468120094,2.826221611498219,2.311569164486088,3.68594044175552e-14,-0.05288638232592158,-0.5146524470121312,True,2,3.524047408830998,0.020267009735107422,0.15145397186279297,45,450,450,0,3176,0,1824
30,20260413,cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm,5.776707709313511,8.210544278401434,10.017221214983227,5.776626993036404,-8.07162771074843e-05,-2.4339172853650304,-4.240594221946823,True,2,11.21013385478281,0.03546714782714844,0.32402610778808594,48,1440,1440,0,3081,22,1897
30,20260414,cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm,4.756441222441541,7.720660542157473,9.819442171444654,4.75644122244145,-9.14823772291129e-14,-2.9642193197160234,-5.063000949003205,True,2,11.943155053059849,0.03159022331237793,0.3142240047454834,48,1440,1440,0,2272,0,2728
30,20260415,cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm,4.832085968047852,8.163391838467438,9.676923471169882,4.832085968047799,-5.240252676230739e-14,-3.331305870419639,-4.844837503122083,True,2,12.376915284254956,0.030160903930664062,0.3031771183013916,50,1500,1500,0,2387,0,2613
30,20260416,cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm,5.0222534397529115,8.163436192076851,10.09598615984268,5.022253439752883,-2.842170943040401e-14,-3.141182752323968,-5.073732720089796,True,2,11.690675613115708,0.02577996253967285,0.3110041618347168,50,1500,1500,0,2817,0,2183
30,20260417,cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm,4.153659928856083,7.974817072219512,9.93975954576363,4.153659928856054,-2.930988785010413e-14,-3.8211571433634584,-5.786099616907577,True,2,12.61062905790811,0.035601139068603516,0.3141970634460449,49,1470,1470,0,2087,0,2913
