instance,bundle,bundle_bits,size,price,profit_per_sale,train_buyers,train_share,out_buyers,out_share,share_delta,revenue_delta_per_customer,train_avg_surplus,train_min_surplus,out_near_miss_count,out_near_miss_choose_outside,out_near_miss_choose_other_bundle,out_top_substitute
inst001,31,11111,5,28.094737,2.594737,6,0.12,234,0.0468,-0.0732,-0.189935,1.222263,0.655264,146,6,140,23 x 23
inst001,29,11101,4,20.511799,2.261799,5,0.1,140,0.028,-0.072,-0.16285,0.552571,0.0,163,12,151,23 x 40
inst001,27,11011,4,22.608645,2.208645,4,0.08,119,0.0238,-0.0562,-0.124126,0.690524,0.347625,172,6,166,23 x 32
inst001,3,00011,2,18.429184,1.779184,3,0.06,79,0.0158,-0.0442,-0.07864,0.059597,0.0,166,14,152,23 x 29
inst001,23,10111,4,24.706725,2.156725,6,0.12,517,0.1034,-0.0166,-0.035802,0.437189,0.0,179,28,151,18 x 32
inst001,25,11001,3,14.72209,1.57209,5,0.1,416,0.0832,-0.0168,-0.026411,0.398458,0.0,217,54,163,23 x 39
inst001,17,10001,2,11.798762,1.598762,1,0.02,19,0.0038,-0.0162,-0.0259,0.0,0.0,160,5,155,25 x 58
inst001,14,01110,3,17.564225,2.264225,1,0.02,46,0.0092,-0.0108,-0.024454,0.141063,0.141063,124,9,115,31 x 23
inst001,15,01111,4,27.208841,2.508841,2,0.04,152,0.0304,-0.0096,-0.024085,0.699221,0.329859,136,7,129,23 x 30
inst001,24,11000,2,5.105642,1.355642,1,0.02,18,0.0036,-0.0164,-0.022233,0.0,0.0,153,6,147,25 x 36
inst001,11,01011,3,21.577759,1.977759,3,0.06,247,0.0494,-0.0106,-0.020964,0.513709,0.0,219,26,193,23 x 32
inst001,26,11010,3,12.590085,1.590085,3,0.06,251,0.0502,-0.0098,-0.015583,0.457118,0.207191,190,27,163,23 x 42
inst001,1,00001,1,30.262087,20.862087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,2,00010,1,30.262087,23.012087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,4,00100,1,30.262087,25.162087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,5,00101,2,30.262087,15.762087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,6,00110,2,30.262087,17.912087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,9,01001,2,30.262087,17.912087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,10,01010,2,30.262087,20.062087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,12,01100,2,30.262087,22.212087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,13,01101,3,30.262087,12.812087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,16,10000,1,30.262087,29.462087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,19,10011,3,30.262087,12.812087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,20,10100,2,30.262087,24.362087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,22,10110,3,30.262087,17.112087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,28,11100,3,30.262087,21.412087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,30,11110,4,30.262087,14.162087,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst001,21,10101,3,17.209966,1.909966,1,0.02,109,0.0218,0.0018,0.003438,0.0,0.0,175,15,160,23 x 49
inst001,8,01000,1,3.808341,0.858341,1,0.02,124,0.0248,0.0048,0.00412,0.0,0.0,220,51,169,31 x 30
inst001,7,00111,3,23.848989,2.098989,1,0.02,222,0.0444,0.0244,0.051215,0.244559,0.244559,175,33,142,23 x 33
inst001,18,10010,2,9.236535,1.186535,1,0.02,317,0.0634,0.0434,0.051496,0.0,0.0,246,56,190,23 x 38
inst005,31,11111,5,28.012257,2.512257,12,0.24,455,0.091,-0.149,-0.374326,1.15547,0.021756,167,4,163,20 x 25
inst005,23,10111,4,25.058676,2.508676,2,0.04,39,0.0078,-0.0322,-0.080779,0.76552,0.228699,138,0,138,31 x 26
inst005,15,01111,4,27.087749,2.387749,3,0.06,132,0.0264,-0.0336,-0.080228,0.96085,0.41884,174,5,169,31 x 27
inst005,14,01110,3,17.211117,1.911117,2,0.04,107,0.0214,-0.0186,-0.035547,0.233594,0.184935,167,1,166,31 x 37
inst005,25,11001,3,15.183531,2.033531,1,0.02,20,0.004,-0.016,-0.032536,0.310751,0.310751,144,2,142,31 x 33
inst005,3,00011,2,18.531518,1.881518,1,0.02,27,0.0054,-0.0146,-0.02747,0.00926,0.00926,168,7,161,31 x 34
inst005,5,00101,2,16.094534,1.594534,2,0.04,114,0.0228,-0.0172,-0.027426,0.19686,0.0,219,22,197,20 x 39
