instance,focus_bundle,customer_id,valuations,bundle_surplus,chosen_bundle,chosen_surplus,chosen_profit,alt_bundle,alt_surplus
inst001,31,369,"[1.689020378148446, 3.139151004513303, 5.334996554726814, 7.973974565868153, 9.954524893105472]",-0.0031,18,0.4265,1.1865,23,0.2458
inst001,31,594,"[0.3629088802026855, 3.713066720057786, 5.576930153606204, 7.9736434999299455, 10.464913882439372]",-0.0033,11,0.5739,1.9778,15,0.5197
inst001,31,4387,"[1.6211820621888822, 3.550336955501122, 5.931287399239325, 7.09190201632106, 9.895672564572584]",-0.0044,29,0.4867,2.2618,25,0.3451
inst001,31,1646,"[0.9056109099843623, 2.7058620850872686, 6.133522541756245, 7.5160041897415715, 10.82866346740606]",-0.0051,23,0.6771,2.1567,21,0.6578
inst001,31,4886,"[1.2761794008213163, 3.0492327802151262, 5.967725358982512, 8.009523302738401, 9.78546119261453]",-0.0066,23,0.3322,2.1567,18,0.0492
inst001,29,3208,"[1.304719741745432, 3.0289561945614705, 5.795942501558875, 8.68871959410861, 10.381898063620334]",-0.0003,23,1.4646,2.1567,31,1.1055
inst001,29,2303,"[1.398685509327464, 3.417185829252672, 5.465333965059088, 7.911051500116302, 10.229842732354124]",-0.0008,27,0.3481,2.2086,31,0.3274
inst001,29,4744,"[1.7578141698377823, 2.8343300680858965, 6.224201721081161, 7.345819313167184, 9.69440820996148]",-0.0010,21,0.4665,1.9100,23,0.3155
inst001,29,3559,"[0.7643590811071233, 3.97633160840359, 5.618501615578214, 8.68022225168478, 10.151016659501012]",-0.0016,11,1.2298,1.9778,15,1.2172
inst001,29,1482,"[1.4497095793560366, 3.646690703374445, 5.39936169636383, 7.560272766278355, 10.014159713509908]",-0.0019,25,0.3885,1.5721,26,0.0666
inst001,27,4151,"[1.60320843866905, 2.7460129364793833, 6.212145960916129, 8.150287990003351, 10.108245219812215]",-0.0009,23,1.3672,2.1567,31,0.7252
inst001,27,2954,"[0.27604038770352435, 3.1572611463795313, 5.307390346316107, 8.71016955479689, 10.463037605312193]",-0.0021,11,0.7527,1.9778,3,0.7440
inst001,27,3990,"[1.4429898474638982, 3.772659221468782, 5.988829873088104, 7.441292893857686, 9.949566213064536]",-0.0021,29,0.6422,2.2618,31,0.5006
inst001,27,4527,"[1.4803308959606196, 2.9264594415029346, 5.372590135340695, 7.56076631576822, 10.637013386812999]",-0.0041,23,0.3440,2.1567,25,0.3217
inst001,27,782,"[0.8128446334759367, 2.926633225277667, 5.15960079454915, 8.005839752339599, 10.858147281159203]",-0.0052,3,0.4348,1.7792,11,0.2129
inst005,31,4435,"[1.1926945865614011, 3.1937547311695536, 6.42729135272084, 7.123065865540051, 10.074337674615597]",-0.0011,20,0.7605,0.9595,13,0.4484
inst005,31,3759,"[0.9697519174062613, 3.210384667233555, 4.9937141187999154, 7.96423296217822, 10.872743721014047]",-0.0014,11,0.4728,1.9745,9,0.3161
inst005,31,4519,"[1.8008600423411703, 3.24708443982451, 5.562509790876264, 7.496943507436096, 9.903398172854605]",-0.0015,20,0.5039,0.9595,16,0.2457
inst005,31,4463,"[0.4633981550506413, 3.1024955179981872, 5.819786901862345, 8.392895746199976, 10.231815528638947]",-0.0019,7,0.6181,2.0764,6,0.5518
inst005,31,967,"[0.3586415318007432, 3.165438324841884, 5.208124297830968, 8.830266672093115, 10.447550942022623]",-0.0022,11,0.8687,1.9745,3,0.7463
inst005,23,4860,"[1.4075883778346652, 3.3884899528165886, 4.865219286126749, 8.30364789297467, 10.480920130719829]",-0.0013,27,0.8759,2.3047,19,0.6852
inst005,23,4683,"[0.9806853895121066, 2.948478910635481, 6.079004344542687, 7.79675599640853, 10.200010663903715]",-0.0022,7,0.2494,2.0764,6,0.2149
inst005,23,774,"[1.2121008773227513, 3.558573804612776, 5.238310565859451, 8.238832444645757, 10.366716187335118]",-0.0027,27,0.6715,2.3047,31,0.6023
inst005,23,2956,"[1.1558383068212479, 2.794422975545067, 5.826317047780098, 7.654992062959904, 10.41842210278548]",-0.0031,5,0.1502,1.5945,20,0.1226
inst005,23,1876,"[1.8518004722861816, 3.6644875332697584, 5.453805067984734, 7.609078406595654, 10.140805142792804]",-0.0032,31,0.7077,2.5123,29,0.5998
inst005,15,2128,"[2.0989095035013174, 3.4159185503737843, 5.771519015146647, 7.965141118046323, 9.934943272345187]",-0.0002,31,1.1742,2.5123,20,1.0109
inst005,15,2429,"[1.241956213246299, 3.9094421804235315, 5.530978203756891, 7.182492532512983, 10.464471623585496]",-0.0004,13,0.6579,1.7970,29,0.6357
inst005,15,4143,"[1.1577033450021736, 4.213945258321688, 5.033496004217468, 7.935301575713937, 9.904421248635023]",-0.0006,27,0.5066,2.3047,11,0.4792
inst005,15,3066,"[0.3980747919384968, 3.66819846931981, 5.981723544554214, 7.727605999145495, 9.709504076774385]",-0.0007,14,0.1664,1.9111,13,0.1124
inst005,15,1970,"[1.2688451462934753, 3.577204900227935, 5.520250716776507, 7.752702351317612, 10.235023439680129]",-0.0026,31,0.3418,2.5123,27,0.1290
