customer_id,valuations,bundle_surplus,chosen_bundle,chosen_surplus,chosen_profit,alt_bundle,alt_surplus
369,"[1.689020378148446, 3.139151004513303, 5.334996554726814, 7.973974565868153, 9.954524893105472]",-0.0031,18,0.4265,1.1865,23,0.2458
594,"[0.3629088802026855, 3.713066720057786, 5.576930153606204, 7.9736434999299455, 10.464913882439372]",-0.0033,11,0.5739,1.9778,15,0.5197
4387,"[1.6211820621888822, 3.550336955501122, 5.931287399239325, 7.09190201632106, 9.895672564572584]",-0.0044,29,0.4867,2.2618,25,0.3451
1646,"[0.9056109099843623, 2.7058620850872686, 6.133522541756245, 7.5160041897415715, 10.82866346740606]",-0.0051,23,0.6771,2.1567,21,0.6578
4886,"[1.2761794008213163, 3.0492327802151262, 5.967725358982512, 8.009523302738401, 9.78546119261453]",-0.0066,23,0.3322,2.1567,18,0.0492
3208,"[1.304719741745432, 3.0289561945614705, 5.795942501558875, 8.68871959410861, 10.381898063620334]",-0.0003,23,1.4646,2.1567,31,1.1055
2303,"[1.398685509327464, 3.417185829252672, 5.465333965059088, 7.911051500116302, 10.229842732354124]",-0.0008,27,0.3481,2.2086,31,0.3274
4744,"[1.7578141698377823, 2.8343300680858965, 6.224201721081161, 7.345819313167184, 9.69440820996148]",-0.0010,21,0.4665,1.9100,23,0.3155
3559,"[0.7643590811071233, 3.97633160840359, 5.618501615578214, 8.68022225168478, 10.151016659501012]",-0.0016,11,1.2298,1.9778,15,1.2172
1482,"[1.4497095793560366, 3.646690703374445, 5.39936169636383, 7.560272766278355, 10.014159713509908]",-0.0019,25,0.3885,1.5721,26,0.0666
4151,"[1.60320843866905, 2.7460129364793833, 6.212145960916129, 8.150287990003351, 10.108245219812215]",-0.0009,23,1.3672,2.1567,31,0.7252
2954,"[0.27604038770352435, 3.1572611463795313, 5.307390346316107, 8.71016955479689, 10.463037605312193]",-0.0021,11,0.7527,1.9778,3,0.7440
3990,"[1.4429898474638982, 3.772659221468782, 5.988829873088104, 7.441292893857686, 9.949566213064536]",-0.0021,29,0.6422,2.2618,31,0.5006
4527,"[1.4803308959606196, 2.9264594415029346, 5.372590135340695, 7.56076631576822, 10.637013386812999]",-0.0041,23,0.3440,2.1567,25,0.3217
782,"[0.8128446334759367, 2.926633225277667, 5.15960079454915, 8.005839752339599, 10.858147281159203]",-0.0052,3,0.4348,1.7792,11,0.2129
