cost_scenario,dist_family,heterogeneity,instance_id,k,method,n,ratio_in_to_bsp,ratio_out_to_bsp,revenue_in_sample,revenue_out_sample,rho
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvhm,50,CPBSD-MILP,5,1.3415883149804149,,6.367534669103083,3.6912351128233682,-0.5
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvhm,50,BSP,5,1.0,,4.7462657493375975,0.0,-0.5
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvhm,50,MB,5,1.4542903905986808,,6.902448670489315,0.0,-0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvlm,50,CPBSD-MILP,5,1.2459822689798634,,6.370637867066902,2.9313961782596376,-0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvlm,50,BSP,5,1.0,,5.112944241399842,0.0,-0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvlm,50,MB,5,1.3523247318473428,,6.9143609502014565,0.0,-0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_zero,50,CPBSD-MILP,5,1.0159899545100184,,18.075042126496886,14.08470470611713,-0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_zero,50,BSP,5,1.0,,17.79057169439627,0.0,-0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_zero,50,MB,5,1.0442180280514695,,18.57723569263076,0.0,-0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvhm,50,CPBSD-MILP,5,1.0853428058444035,,1.132703433181392,0.8602604136669486,-0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvhm,50,BSP,5,1.0,,1.0436365608008447,0.0,-0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvhm,50,MB,5,1.2247926026087885,,1.2782383394809518,0.0,-0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvlm,50,CPBSD-MILP,5,1.2858547223163672,,1.1563219612785303,0.9880277730469857,-0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvlm,50,BSP,5,1.0,,0.8992633002859812,0.0,-0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvlm,50,MB,5,1.362361613407196,,1.2251218006554891,0.0,-0.5
