instance_path,split,index_in_split,filename
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_001_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,0,cpbsd_instance_001_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_002_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,1,cpbsd_instance_002_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_003_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,2,cpbsd_instance_003_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_004_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,3,cpbsd_instance_004_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_005_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,4,cpbsd_instance_005_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_006_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,5,cpbsd_instance_006_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_007_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,6,cpbsd_instance_007_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_008_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,7,cpbsd_instance_008_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_009_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,8,cpbsd_instance_009_N5_K50_normal_rho0.0_full_random_corr.msgpack
/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_random_corr_n5/instances/cpbsd_instance_010_N5_K50_normal_rho0.0_full_random_corr.msgpack,train,9,cpbsd_instance_010_N5_K50_normal_rho0.0_full_random_corr.msgpack
