n,method,method_label,instances,status_counts,runtime_mean,runtime_median,runtime_min,runtime_max,revenue_in_sample_mean,revenue_out_sample_mean,ratio_to_bsp_in_sample_mean,ratio_to_bsp_out_sample_mean
5,BSP,BSP,3,{'OPTIMAL': 3},0.1724125544230143,0.18532681465148926,0.13879799842834473,0.19311285018920898,25.047759851104576,24.08885043233947,1.0,1.0
5,CPBSD-A,CPBSD-A,3,{'OPTIMAL': 3},0.23847198486328125,0.2100389003753662,0.12827301025390625,0.3771040439605713,24.93563426638524,24.024018570618704,0.9955932036913344,0.9973981465505917
5,CPBSD-MILP,CPBSD,3,{'OPTIMAL': 3},2.2100533644358316,2.0307719707489014,2.013024091720581,2.5863640308380127,25.052510768205934,23.914345878580452,1.0002193235034653,0.9931031845591832
5,FCP-pruned-MB,FCP-MB,3,{'OPTIMAL': 3},0.2153466542561849,0.20488691329956055,0.17612195014953613,0.265031099319458,25.363312552896293,24.055686310689307,1.0126485371609117,0.9987894414629341
5,MB,MB,3,{'OPTIMAL': 3},1.0724156697591145,1.0444469451904297,1.0039069652557373,1.1688930988311768,25.453228132872756,23.040447938278675,1.0162846717256044,0.9559910391139992
10,BSP,BSP,3,{'OPTIMAL': 3},0.39592727025349933,0.2111060619354248,0.19736886024475098,0.7793068885803223,51.09954887500012,48.768948986841416,1.0,1.0
10,CPBSD-A,CPBSD-A,3,{'OPTIMAL': 3},2.971904675165812,0.3666419982910156,0.23367905616760254,8.315392971038818,50.6360594967014,48.675816585525844,0.991016939878297,0.9981095543845485
10,CPBSD-MILP,CPBSD,3,"{'OPTIMAL': 2, 'TIME_LIMIT': 1}",117.23713199297588,46.94999289512634,4.749067068099976,300.0123360157013,50.02152421038526,47.810678043627235,0.979199500646371,0.9804554009662739
10,FCP-pruned-MB,FCP-MB,3,{'OPTIMAL': 3},0.7581666310628256,0.808211088180542,0.5603339672088623,0.9059548377990723,52.25368856958144,48.46587141104147,1.0226048611404055,0.9938933291271045
10,MB,MB,3,"{'OPTIMAL': 2, 'TIME_LIMIT': 1}",225.97124926249185,199.6148328781128,178.21052503585815,300.08838987350464,52.3237059216982,46.52678641207777,1.024007337411271,0.9542028670113231
20,BSP,BSP,3,{'OPTIMAL': 3},0.721756378809611,0.519158124923706,0.5143351554870605,1.1317758560180664,102.26631433445624,103.42724151538648,1.0,1.0
20,CPBSD-A,CPBSD-A,3,{'OPTIMAL': 3},57.49099071820577,38.829769134521484,5.716350078582764,127.92685294151306,103.59430549869349,103.2801833905351,1.0130648437217502,0.998573770062368
20,CPBSD-MILP,CPBSD,3,{'TIME_LIMIT': 3},600.0431126753489,600.0490729808807,600.0264539718628,600.0538110733032,101.61163679602835,100.57620328872879,0.9934868100921864,0.9725169854549524
20,FCP-pruned-MB,FCP-MB,3,{'OPTIMAL': 3},8.549499352773031,6.403923034667969,6.118210077285767,13.126364946365356,105.28159887442673,101.80300181937406,1.0295848764251767,0.9842824095430854
20,MB,MB,3,{'SKIPPED_INTRACTABLE': 3},,,,,,,,
30,BSP,BSP,3,{'OPTIMAL': 3},0.8241128921508789,0.7655198574066162,0.5880279541015625,1.118790864944458,157.09399694009142,152.8268346711466,1.0,1.0
30,CPBSD-A,CPBSD-A,3,{'OPTIMAL': 3},51.39566159248352,54.371909856796265,40.73731088638306,59.07776403427124,158.90404253234206,152.51252479390834,1.0114966327599932,0.9979240233932728
30,CPBSD-MILP,CPBSD,3,{'TIME_LIMIT': 3},600.056393067042,600.0476880073547,600.042093038559,600.0793981552124,53.28651063247975,56.23128680429608,0.3405668624444516,0.36235532514703156
30,FCP-pruned-MB,FCP-MB,3,{'OPTIMAL': 3},2.323028564453125,1.9055547714233398,1.1672370433807373,3.896293878555298,160.10160830076572,151.19782889552928,1.019142533777743,0.9894451565179055
30,MB,MB,3,{'SKIPPED_INTRACTABLE': 3},,,,,,,,
