n,method,method_label,instances,status_counts,runtime_mean,runtime_median,runtime_min,runtime_max,revenue_in_sample_mean,revenue_out_sample_mean,ratio_to_bsp_in_sample_mean,ratio_to_bsp_out_sample_mean
5,BSP,BSP,1,{'OPTIMAL': 1},1.030236005783081,1.030236005783081,1.030236005783081,1.030236005783081,25.599847288437807,23.033685801658613,1.0,1.0
5,CPBSD-A,CPBSD-A,1,{'OPTIMAL': 1},2.2577099800109863,2.2577099800109863,2.2577099800109863,2.2577099800109863,25.599847288437807,23.101157503466222,1.0,1.0029292620550876
5,CPBSD-MILP,CPBSD,1,{'OPTIMAL': 1},9.292922973632812,9.292922973632812,9.292922973632812,9.292922973632812,25.517128178931607,23.19830462300253,0.9967687655096458,1.007146872748089
5,FCP-pruned-MB,FCP-MB,1,{'OPTIMAL': 1},0.718878984451294,0.718878984451294,0.718878984451294,0.718878984451294,25.879669223105214,23.209397200914232,1.0109306095272603,1.0076284534211613
5,MB,MB,1,{'OPTIMAL': 1},5.813132047653198,5.813132047653198,5.813132047653198,5.813132047653198,25.879669223124964,21.425455185822564,1.0109306095280317,0.9301791893106294
10,BSP,BSP,1,{'OPTIMAL': 1},0.7020649909973145,0.7020649909973145,0.7020649909973145,0.7020649909973145,51.59735272060213,49.17753570241572,1.0,1.0
10,CPBSD-A,CPBSD-A,1,{'OPTIMAL': 1},1.5598750114440918,1.5598750114440918,1.5598750114440918,1.5598750114440918,50.20802522852137,48.86588428831448,0.9730736671781609,0.9936627281206788
10,CPBSD-MILP,CPBSD,1,{'OPTIMAL': 1},221.9313199520111,221.9313199520111,221.9313199520111,221.9313199520111,47.93596543391223,46.37461634075342,0.9290392414797677,0.9430040704230609
10,FCP-pruned-MB,FCP-MB,1,{'OPTIMAL': 1},4.173191070556641,4.173191070556641,4.173191070556641,4.173191070556641,52.80055915277791,46.63748475198812,1.0233191504744652,0.9483493649255218
10,MB,MB,1,{'TIME_LIMIT': 1},300.86954617500305,300.86954617500305,300.86954617500305,300.86954617500305,1.1940311979991471,0.11940311979991472,0.02314132673559406,0.002428001283400001
