instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a,run_root
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260413,30,50,FCP-pruned-MB,9.249190743857005,8.656034306657547,600.9234747886658,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.12650084495544434,0.00011897087097167969,51,4.7497451305389404e-08,1073741824,50,50,0.5,0.9656423184029888,0.9852646969910548,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260413
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260413,30,50,BSP,9.578278175664073,8.894513667002334,15.075004816055298,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__bsp.json,,,,,1073741824,,,,1.0,1.0203205454173945,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260413
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260413,30,50,CPBSD-A,9.387518676050744,9.171881202000161,600.5792078971863,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__cpbsd_a.json,,,,,1073741824,,,,0.9800841554071796,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260413
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260414,30,50,FCP-pruned-MB,9.531605056050543,8.227594462179074,600.9219651222229,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.12289571762084961,0.0001270771026611328,50,4.6566128730773926e-08,1073741824,50,49,0.5,1.0336377156692251,1.0137432474231018,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260414
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260414,30,50,BSP,9.221417631688622,8.335188108269113,116.09090900421143,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__bsp.json,,,,,1073741824,,,,1.0,0.9807529582710295,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260414
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260414,30,50,CPBSD-A,9.402385742424952,8.987979160416499,600.2375569343567,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__cpbsd_a.json,,,,,1073741824,,,,1.0196247603095698,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260414
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260415,30,50,FCP-pruned-MB,9.95618220943927,7.811655682064066,601.7373659610748,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260415/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.18348026275634766,0.00024080276489257812,49,4.563480615615845e-08,1073741824,50,48,0.5,1.024065065750977,0.999127313631266,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260415
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260415,30,50,BSP,9.722216431763647,8.667207887532134,52.820542335510254,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260415/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__bsp.json,,,,,1073741824,,,,1.0,0.9756482737730892,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260415
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260415,30,50,CPBSD-A,9.964878423005118,8.847392956012609,600.4456799030304,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260415/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__cpbsd_a.json,,,,,1073741824,,,,1.0249595339647721,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260415
cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm,20260416,30,50,FCP-pruned-MB,9.188351538416997,8.674482452600543,600.9907519817352,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260416/results/cpbsd_instance_001_N30_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.10984992980957031,0.0001270771026611328,50,4.6566128730773926e-08,1073741824,50,49,0.5,0.9748867013609904,0.9926474520637409,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/logit_rho0.0_full_hvhm/runs/seed_20260416
