instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a,run_root
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260413,5,50,FCP-pruned-MB,1.2480670903811186,0.94332797146112,22.616901874542236,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.0668637752532959,8.320808410644531e-05,12,0.375,32,50,12,0.5,1.0013145646518335,1.0118497409348945,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260413,5,50,BSP,1.2464285794295655,1.0897499155167814,2.5948569774627686,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__bsp.json,,,,,32,,,,1.0,1.0105213452944473,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260413,5,50,CPBSD-A,1.2334510153928309,1.1351833424129842,27.35342788696289,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__cpbsd_a.json,,,,,32,,,,0.989588200839655,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260414,5,50,FCP-pruned-MB,1.2906379764736997,1.1178345457105174,10.60642385482788,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.06686282157897949,8.225440979003906e-05,13,0.40625,32,50,13,0.5,1.1115334051334296,1.0627804160754988,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260414,5,50,BSP,1.1611328733019681,1.132910295124393,4.764526128768921,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__bsp.json,,,,,32,,,,1.0,0.9561389798698146,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260414,5,50,CPBSD-A,1.2143975904633288,1.155761671458129,29.207154989242554,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__cpbsd_a.json,,,,,32,,,,1.0458730593079235,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260415,5,50,FCP-pruned-MB,1.4886899896311858,1.119139435623477,17.571754693984985,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.06685972213745117,8.535385131835938e-05,15,0.46875,32,50,15,0.5,1.0621893464678003,1.0303594702151457,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260415
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260415,5,50,BSP,1.4015297692277453,1.1745145088385962,3.2038447856903076,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__bsp.json,,,,,32,,,,1.0,0.9700337078709164,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260415
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260415,5,50,CPBSD-A,1.444825842499742,1.1628647170412478,22.453030109405518,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__cpbsd_a.json,,,,,32,,,,1.0308920111599578,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260415
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260416,5,50,FCP-pruned-MB,1.284183318004443,1.1105102075863291,30.718074798583984,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260416/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.06039094924926758,7.295608520507812e-05,12,0.375,32,50,12,0.5,1.0019670940147019,1.0136236062899417,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260416
