instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a,run_root
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260413,5,50,FCP-pruned-MB,26.35978104661673,25.53735587796185,0.14386916160583496,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__fcp_pruned_mb.json,0.0676109790802002,6.890296936035156e-05,5,0.15625,32,50,4,0.5,0.9999999999999998,0.9999999999999998,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260413,5,50,BSP,26.35978104661674,25.53735587796185,0.18867897987365723,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__bsp.json,,,,,32,,,,1.0,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260413,5,50,CPBSD-A,26.35978104661674,25.450308850944044,0.09527087211608887,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__cpbsd_a.json,,,,,32,,,,1.0,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260414,5,50,FCP-pruned-MB,25.73700432810441,25.69741616460167,0.11989712715148926,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__fcp_pruned_mb.json,0.06778979301452637,6.031990051269531e-05,5,0.15625,32,50,4,0.5,1.0000000000000004,0.999999999999999,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260414,5,50,BSP,25.737004328104398,25.69582512118297,0.16531109809875488,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__bsp.json,,,,,32,,,,1.0,0.9999999999999987,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260414,5,50,CPBSD-A,25.737004328104433,25.695190412840628,0.22227191925048828,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__cpbsd_a.json,,,,,32,,,,1.0000000000000013,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260415,5,50,FCP-pruned-MB,26.72631331663828,22.876522416970644,0.12938427925109863,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__fcp_pruned_mb.json,0.06761288642883301,6.890296936035156e-05,5,0.15625,32,50,4,0.5,1.000000000000011,1.0000822912890563,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260415,5,50,BSP,26.72631331663798,22.988297800364652,0.17602205276489258,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__bsp.json,,,,,32,,,,1.0,1.0000822912890452,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260415,5,50,CPBSD-A,26.72411415483559,23.130119976477012,0.11606669425964355,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__cpbsd_a.json,,,,,32,,,,0.9999177154822538,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260416,5,50,FCP-pruned-MB,26.243634506170512,24.870069955651417,0.14754509925842285,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260416/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__fcp_pruned_mb.json,0.06183815002441406,7.891654968261719e-05,6,0.1875,32,50,5,0.5,1.0000000000002816,1.000000000000279,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260416
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20260416,5,50,BSP,26.243634506163126,25.45488986162064,0.17290878295898438,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260416/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__bsp.json,,,,,32,,,,1.0,0.9999999999999976,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_zero/runs/seed_20260416
