instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a,run_root
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260413,5,50,FCP-pruned-MB,25.993478055165518,25.006552516449972,0.3799872398376465,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__fcp_pruned_mb.json,0.061334848403930664,5.793571472167969e-05,9,0.28125,32,50,8,0.5,1.0000000000000215,1.0000000000000022,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260413,5,50,BSP,25.993478055164957,25.5151980589522,0.1707620620727539,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__bsp.json,,,,,32,,,,1.0,0.9999999999999806,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260413,5,50,CPBSD-A,25.99347805516546,25.5151980589522,0.3229999542236328,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__cpbsd_a.json,,,,,32,,,,1.0000000000000193,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260414,5,50,FCP-pruned-MB,26.12574361487768,25.041535591036418,0.5712800025939941,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__fcp_pruned_mb.json,0.06121182441711426,6.890296936035156e-05,11,0.34375,32,50,10,0.5,0.9997437607584502,0.9997437607584743,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260414,5,50,BSP,26.132439771424558,25.13697193366681,0.3824281692504883,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__bsp.json,,,,,32,,,,1.0,1.000000000000024,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260414,5,50,CPBSD-A,26.13243977142393,25.125718415772926,0.20495271682739258,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__cpbsd_a.json,,,,,32,,,,0.9999999999999759,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260415,5,50,FCP-pruned-MB,26.097908870485437,24.506508784979115,0.3518493175506592,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__fcp_pruned_mb.json,0.06609392166137695,6.079673767089844e-05,8,0.25,32,50,7,0.5,1.0000000000000053,1.0000000000000044,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260415,5,50,BSP,26.0979088704853,25.416653535126734,0.17667102813720703,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__bsp.json,,,,,32,,,,1.0,0.999999999999999,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260415,5,50,CPBSD-A,26.097908870485323,24.85953416872406,0.17054414749145508,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__cpbsd_a.json,,,,,32,,,,1.0000000000000009,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,20260416,5,50,FCP-pruned-MB,26.071477238845652,25.179540586928486,0.1877918243408203,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260416/results/cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero__fcp_pruned_mb.json,0.0587620735168457,8.0108642578125e-05,8,0.25,32,50,7,0.5,0.9999999999999998,0.9999999999999993,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho-0.5_full_zero/runs/seed_20260416
