instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a,run_root
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260413,5,50,FCP-pruned-MB,25.698415520482836,24.306207905775494,0.3052551746368408,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__fcp_pruned_mb.json,0.15259313583374023,8.988380432128906e-05,8,0.25,32,50,7,0.5,0.9999999999999993,0.9999999999999972,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260413,5,50,BSP,25.698415520482854,24.518475979301005,0.2937190532684326,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__bsp.json,,,,,32,,,,1.0,0.9999999999999979,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260413,5,50,CPBSD-A,25.698415520482907,24.518475979301005,0.09334301948547363,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__cpbsd_a.json,,,,,32,,,,1.000000000000002,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260413
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260414,5,50,FCP-pruned-MB,24.297784066400652,24.587788164968362,0.7554652690887451,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__fcp_pruned_mb.json,0.36997199058532715,0.0001468658447265625,12,0.375,32,50,11,0.5,1.000000000000084,1.0000000000000873,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260414,5,50,BSP,24.297784066398613,24.588204880235917,0.3625040054321289,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__bsp.json,,,,,32,,,,1.0,1.0000000000000033,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260414,5,50,CPBSD-A,24.29778406639853,24.586219159573318,0.729388952255249,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__cpbsd_a.json,,,,,32,,,,0.9999999999999967,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260414
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260415,5,50,FCP-pruned-MB,26.210753370613237,23.21324813034437,0.3741600513458252,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__fcp_pruned_mb.json,0.37280988693237305,0.0001289844512939453,9,0.28125,32,50,8,0.5,0.9999999999997896,1.0000000000000568,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260415,5,50,BSP,26.21075337061875,23.228816022462947,0.31651902198791504,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__bsp.json,,,,,32,,,,1.0,1.0000000000002673,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260415,5,50,CPBSD-A,26.210753370611744,23.233085717024924,0.08127593994140625,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260415/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__cpbsd_a.json,,,,,32,,,,0.9999999999997327,1.0,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260415
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,20260416,5,50,FCP-pruned-MB,25.501338044380805,24.53475574905356,0.38968586921691895,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260416/results/cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero__fcp_pruned_mb.json,0.05836319923400879,8.296966552734375e-05,9,0.28125,32,50,8,0.5,0.9999673541540498,0.9999673541540836,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/normal_rho0.0_full_zero/runs/seed_20260416
