bundle_id,bundle_binary,bundle_size,selected_segment_count,selected_customer_weight,avg_price,instance_count,customer_share,cumulative_customer_share
0,00000,0,492,0.364444,0.000000,27,0.364444,0.364444
31,11111,5,173,0.128148,23.179240,20,0.128148,0.492593
16,10000,1,56,0.041481,2.172392,16,0.041481,0.534074
24,11000,2,55,0.040741,5.714732,21,0.040741,0.574815
27,11011,4,44,0.032593,21.040501,16,0.032593,0.607407
20,10100,2,44,0.032593,9.998167,14,0.032593,0.640000
19,10011,3,36,0.026667,19.710669,15,0.026667,0.666667
26,11010,3,36,0.026667,13.774718,20,0.026667,0.693333
28,11100,3,35,0.025926,12.691945,16,0.025926,0.719259
30,11110,4,30,0.022222,20.134059,13,0.022222,0.741481
8,01000,1,30,0.022222,2.750749,12,0.022222,0.763704
29,11101,4,26,0.019259,18.595309,11,0.019259,0.782963
17,10001,2,24,0.017778,10.659304,13,0.017778,0.800741
25,11001,3,23,0.017037,16.274597,12,0.017037,0.817778
21,10101,3,22,0.016296,22.447976,10,0.016296,0.834074
1,00001,1,21,0.015556,8.827325,12,0.015556,0.849630
18,10010,2,19,0.014074,8.415435,10,0.014074,0.863704
10,01010,2,19,0.014074,13.913407,10,0.014074,0.877778
2,00010,1,17,0.012593,8.013318,10,0.012593,0.890370
5,00101,2,17,0.012593,16.036189,8,0.012593,0.902963
23,10111,4,17,0.012593,24.566093,11,0.012593,0.915556
14,01110,3,13,0.009630,19.557977,10,0.009630,0.925185
22,10110,3,13,0.009630,14.032266,9,0.009630,0.934815
15,01111,4,13,0.009630,24.404739,4,0.009630,0.944444
3,00011,2,12,0.008889,14.381044,8,0.008889,0.953333
9,01001,2,12,0.008889,14.609040,9,0.008889,0.962222
7,00111,3,12,0.008889,29.592923,7,0.008889,0.971111
4,00100,1,10,0.007407,9.895130,5,0.007407,0.978519
12,01100,2,9,0.006667,9.831769,8,0.006667,0.985185
6,00110,2,7,0.005185,14.978408,7,0.005185,0.990370
13,01101,3,7,0.005185,18.405291,6,0.005185,0.995556
11,01011,3,6,0.004444,15.515522,4,0.004444,1.000000
