instance_id,dist_family,rho,heterogeneity,cost_scenario,seed,status,revenue_in_sample,revenue_out_sample,ratio_out_in,drop
cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvhm,exponential,-0.5,full,hvhm,20267306,OK,6.901425108375857,4.055422164964308,0.5876209770127736,0.4123790229872264
cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvlm,exponential,-0.5,full,hvlm,20268306,OK,6.644515131535196,3.192589186998196,0.4804848997703399,0.5195151002296601
cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_zero,exponential,-0.5,full,zero,20266306,OK,14.261208865227974,11.244023176100319,0.7884340859431467,0.21156591405685332
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvhm,exponential,-0.5,none,hvhm,20261306,OK,1.2516755407414584,0.8606265518593001,0.6875795873980955,0.31242041260190445
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvlm,exponential,-0.5,none,hvlm,20262306,OK,1.198943723232733,0.9376461227303453,0.7820601622586202,0.21793983774137982
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,exponential,-0.5,none,zero,20260306,OK,2.6352621190077254,2.7031959752374815,1.0257787852448377,-0.025778785244837676
cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvhm,exponential,-0.5,partial,hvhm,20264306,OK,4.610101272625524,2.6698256146198296,0.5791251551181917,0.42087484488180826
cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvlm,exponential,-0.5,partial,hvlm,20265306,OK,5.378139451967437,2.558327465506964,0.4756900575664831,0.5243099424335169
cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_zero,exponential,-0.5,partial,zero,20263306,OK,7.296483029789861,7.397437478326236,1.0138360423952475,-0.013836042395247494
cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvhm,exponential,0.0,full,hvhm,20276306,OK,5.8321618988788195,3.505408540743941,0.6010478792466004,0.3989521207533996
cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvlm,exponential,0.0,full,hvlm,20277306,OK,7.456160084123594,3.9634739309222233,0.5315703909525294,0.46842960904747055
cpbsd_instance_001_N5_K50_exponential_rho0.0_full_zero,exponential,0.0,full,zero,20275306,OK,15.807147985170838,11.633461217548835,0.7359620614966429,0.2640379385033571
cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvhm,exponential,0.0,none,hvhm,20270306,OK,1.28304855562589,0.848780020541712,0.6615338264635391,0.3384661735364609
cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvlm,exponential,0.0,none,hvlm,20271306,OK,1.0415610946465115,0.8943332746624751,0.8586469668070666,0.14135303319293335
cpbsd_instance_001_N5_K50_exponential_rho0.0_none_zero,exponential,0.0,none,zero,20269306,OK,1.0236250539205707,0.5921195871042362,0.5784535898534019,0.4215464101465981
cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvhm,exponential,0.0,partial,hvhm,20273306,OK,3.9471289926801956,2.0409526067293684,0.5170726901791757,0.4829273098208243
cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvlm,exponential,0.0,partial,hvlm,20274306,OK,3.3428941672013197,2.6364838282778424,0.7886830083182425,0.21131699168175755
cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero,exponential,0.0,partial,zero,20272306,OK,8.114328086837403,7.620066348007359,0.9390877798456526,0.060912220154347385
cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvhm,exponential,0.5,full,hvhm,20285306,OK,8.33110588971507,3.4600247350529267,0.41531397882295573,0.5846860211770443
cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvlm,exponential,0.5,full,hvlm,20286306,OK,6.467751417128021,3.719705755358654,0.5751157574652699,0.4248842425347301
cpbsd_instance_001_N5_K50_exponential_rho0.5_full_zero,exponential,0.5,full,zero,20284306,OK,13.070595790167179,11.572807273722717,0.8854077854988656,0.11459221450113444
cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvhm,exponential,0.5,none,hvhm,20279306,OK,1.0531757818801797,0.7835243702282275,0.7439635279396972,0.2560364720603028
cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvlm,exponential,0.5,none,hvlm,20280306,OK,1.5329219952541582,0.8361007081146355,0.545429389560041,0.45457061043995906
cpbsd_instance_001_N5_K50_exponential_rho0.5_none_zero,exponential,0.5,none,zero,20278306,OK,2.256097008861434,1.9777200096986483,0.8766112458509611,0.12338875414903894
cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvhm,exponential,0.5,partial,hvhm,20282306,OK,3.316086820069214,2.4252115802153273,0.7313474320207056,0.2686525679792944
cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvlm,exponential,0.5,partial,hvlm,20283306,OK,6.504686976659303,2.4742370275513412,0.3803775702704248,0.6196224297295752
