dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
logit,-0.5,full,zero,5,0.02180626083993713,0.018362158794880568,0.9781937391600628,0.9816378412051194
logit,0.5,full,zero,5,0.02560710602871612,0.018745749394967315,0.9743928939712838,0.9812542506050327
logit,0.5,partial,zero,5,0.04439937433544387,0.047518601129627136,0.955600625664556,0.9524813988703729
logit,-0.5,partial,zero,5,0.056640804842318926,0.053732827520091675,0.9433591951576812,0.9462671724799083
normal,0.0,partial,zero,5,0.06269010562325986,0.06447923669010869,0.9373098943767401,0.9355207633098913
uniform,0.0,full,zero,5,0.06472262036082374,0.07345812587094147,0.9352773796391762,0.9265418741290585
normal,-0.5,full,zero,5,0.06757606296053828,0.06124781285230452,0.9324239370394617,0.9387521871476955
normal,0.5,full,zero,5,0.06862421681735764,0.06308780768162248,0.9313757831826424,0.9369121923183775
logit,0.0,full,zero,5,0.07081102689517352,0.049070205362963804,0.9291889731048265,0.9509297946370362
uniform,-0.5,full,zero,5,0.07513591275068651,0.07690033906918137,0.9248640872493133,0.9230996609308186
logit,0.0,partial,zero,5,0.07712735370186308,0.06507523336378807,0.9228726462981369,0.9349247666362119
uniform,0.5,full,zero,5,0.08087669672761696,0.06608962067708524,0.9191233032723829,0.9339103793229148
normal,0.5,partial,zero,5,0.08116532145555908,0.07358918973162187,0.9188346785444409,0.9264108102683781
normal,0.0,full,zero,5,0.08143001995144283,0.07927281527867713,0.918569980048557,0.9207271847213229
uniform,0.0,partial,zero,5,0.08934185353035859,0.09702790395987249,0.9106581464696413,0.9029720960401275
uniform,-0.5,partial,zero,5,0.09614454299973821,0.11102836373942992,0.9038554570002617,0.8889716362605701
lognormal,0.0,none,zero,5,0.1001898217299986,0.11578740418163835,0.8998101782700013,0.8842125958183616
normal,-0.5,partial,zero,5,0.10157175509241352,0.10154263079620385,0.8984282449075864,0.8984573692037962
logit,-0.5,none,zero,5,0.10533741812846402,0.09582580576083777,0.8946625818715359,0.9041741942391622
lognormal,-0.5,partial,zero,5,0.10739946473152981,0.1149163546440034,0.89260053526847,0.8850836453559966
uniform,0.5,partial,zero,5,0.11571890754397292,0.11352618717940566,0.884281092456027,0.8864738128205943
lognormal,0.5,full,zero,5,0.11702221202671081,0.08819117133984078,0.8829777879732891,0.9118088286601592
lognormal,0.0,full,zero,5,0.11893329874067977,0.1317380330853224,0.8810667012593202,0.8682619669146776
lognormal,-0.5,full,zero,5,0.11910812123234474,0.11661808097982507,0.8808918787676552,0.8833819190201749
logit,0.5,none,zero,5,0.1286067532411958,0.12572409701947818,0.8713932467588041,0.8742759029805218
normal,0.0,none,zero,5,0.13416194765392886,0.13782300292008776,0.865838052346071,0.8621769970799122
logit,0.0,none,zero,5,0.1402557738468852,0.15348492215807275,0.8597442261531147,0.8465150778419273
logit,-0.5,partial,hvlm,5,0.14074647033644241,0.16028273833033369,0.8592535296635576,0.8397172616696663
logit,0.0,partial,hvlm,5,0.14875365605832724,0.14800115165791883,0.8512463439416728,0.8519988483420812
lognormal,0.0,partial,zero,5,0.1507993274789167,0.15463086655337077,0.8492006725210833,0.8453691334466292
normal,0.5,none,zero,5,0.15115366912491404,0.13234949816911856,0.8488463308750859,0.8676505018308814
lognormal,-0.5,none,zero,5,0.15125630554923347,0.15338193823000046,0.8487436944507666,0.8466180617699995
logit,0.5,none,hvlm,5,0.15174855069332058,0.14069149846094176,0.8482514493066793,0.8593085015390582
logit,0.5,partial,hvlm,5,0.15184264612252926,0.15402506820995832,0.8481573538774707,0.8459749317900417
