dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
logit,-0.5,full,zero,1,0.018362158794880568,0.018362158794880568,0.9816378412051194,0.9816378412051194
uniform,0.5,full,zero,1,0.030026651935835535,0.030026651935835535,0.9699733480641645,0.9699733480641645
logit,0.5,full,zero,1,0.03649071474500931,0.03649071474500931,0.9635092852549907,0.9635092852549907
uniform,0.0,partial,zero,1,0.04083392101558869,0.04083392101558869,0.9591660789844113,0.9591660789844113
lognormal,0.0,full,zero,1,0.04266775949001744,0.04266775949001744,0.9573322405099826,0.9573322405099826
logit,0.0,partial,hvhm,1,0.0444310764680228,0.0444310764680228,0.9555689235319772,0.9555689235319772
logit,0.5,partial,zero,1,0.047518601129627136,0.047518601129627136,0.9524813988703729,0.9524813988703729
logit,0.0,full,zero,1,0.049070205362963804,0.049070205362963804,0.9509297946370362,0.9509297946370362
lognormal,-0.5,partial,zero,1,0.0544844215328788,0.0544844215328788,0.9455155784671212,0.9455155784671212
uniform,-0.5,partial,zero,1,0.0635207101379317,0.0635207101379317,0.9364792898620683,0.9364792898620683
logit,0.5,none,zero,1,0.06777184573505579,0.06777184573505579,0.9322281542649442,0.9322281542649442
uniform,-0.5,full,zero,1,0.07690033906918137,0.07690033906918137,0.9230996609308186,0.9230996609308186
normal,0.0,full,zero,1,0.07927281527867713,0.07927281527867713,0.9207271847213229,0.9207271847213229
logit,-0.5,partial,zero,1,0.07928269989195591,0.07928269989195591,0.9207173001080441,0.9207173001080441
exponential,0.0,partial,zero,1,0.07932964086830552,0.07932964086830552,0.9206703591316945,0.9206703591316945
logit,-0.5,none,zero,1,0.0798181875002204,0.0798181875002204,0.9201818124997796,0.9201818124997796
uniform,0.0,full,zero,1,0.08137161812287619,0.08137161812287619,0.9186283818771238,0.9186283818771238
normal,-0.5,partial,hvhm,1,0.08558848145072095,0.08558848145072095,0.914411518549279,0.914411518549279
normal,-0.5,full,zero,1,0.08876340499589586,0.08876340499589586,0.9112365950041041,0.9112365950041041
normal,0.0,partial,zero,1,0.0944751968767985,0.0944751968767985,0.9055248031232015,0.9055248031232015
normal,0.5,partial,zero,1,0.09646432515657766,0.09646432515657766,0.9035356748434223,0.9035356748434223
normal,-0.5,partial,zero,1,0.10154263079620385,0.10154263079620385,0.8984573692037962,0.8984573692037962
lognormal,0.0,none,zero,1,0.10382961206331287,0.10382961206331287,0.8961703879366871,0.8961703879366871
exponential,0.0,none,hvlm,1,0.10597364484806748,0.10597364484806748,0.8940263551519325,0.8940263551519325
normal,-0.5,partial,hvlm,1,0.10863840852959317,0.10863840852959317,0.8913615914704068,0.8913615914704068
normal,0.5,none,zero,1,0.1120948910501921,0.1120948910501921,0.8879051089498079,0.8879051089498079
logit,0.0,partial,zero,1,0.11299529651628315,0.11299529651628315,0.8870047034837168,0.8870047034837168
uniform,0.5,partial,zero,1,0.11352618717940566,0.11352618717940566,0.8864738128205943,0.8864738128205943
normal,-0.5,none,zero,1,0.11826155125003934,0.11826155125003934,0.8817384487499607,0.8817384487499607
normal,0.5,full,zero,1,0.11851454919319915,0.11851454919319915,0.8814854508068009,0.8814854508068009
logit,0.0,none,hvlm,1,0.1200045092972486,0.1200045092972486,0.8799954907027514,0.8799954907027514
lognormal,-0.5,full,zero,1,0.12554704352114365,0.12554704352114365,0.8744529564788563,0.8744529564788563
uniform,-0.5,none,hvlm,1,0.12940999538871834,0.12940999538871834,0.8705900046112817,0.8705900046112817
lognormal,0.5,none,zero,1,0.13006996058605613,0.13006996058605613,0.8699300394139439,0.8699300394139439
logit,0.0,full,hvhm,1,0.1336963065337361,0.1336963065337361,0.8663036934662639,0.8663036934662639
