dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
exponential,-0.5,none,zero,1,-0.025778785244837676,-0.025778785244837676,1.0257787852448377,1.0257787852448377
exponential,-0.5,partial,zero,1,-0.013836042395247494,-0.013836042395247494,1.0138360423952475,1.0138360423952475
logit,-0.5,full,zero,1,0.018362158794880568,0.018362158794880568,0.9816378412051194,0.9816378412051194
lognormal,0.0,full,zero,1,0.02666784016764656,0.02666784016764656,0.9733321598323534,0.9733321598323534
uniform,0.5,full,zero,1,0.030026651935835535,0.030026651935835535,0.9699733480641645,0.9699733480641645
logit,0.5,full,zero,1,0.03649071474500931,0.03649071474500931,0.9635092852549907,0.9635092852549907
logit,0.0,partial,hvhm,1,0.04202552199411358,0.04202552199411358,0.9579744780058864,0.9579744780058864
logit,0.5,partial,zero,1,0.047518601129627136,0.047518601129627136,0.9524813988703729,0.9524813988703729
logit,0.0,full,zero,1,0.049070205362963804,0.049070205362963804,0.9509297946370362,0.9509297946370362
lognormal,-0.5,partial,zero,1,0.0544844215328788,0.0544844215328788,0.9455155784671212,0.9455155784671212
exponential,0.0,partial,zero,1,0.060912220154347385,0.060912220154347385,0.9390877798456526,0.9390877798456526
logit,0.5,none,zero,1,0.06777184573505579,0.06777184573505579,0.9322281542649442,0.9322281542649442
logit,0.0,none,hvlm,1,0.06879129462965394,0.06879129462965394,0.9312087053703461,0.9312087053703461
uniform,0.0,partial,zero,1,0.0692383030375241,0.0692383030375241,0.9307616969624759,0.9307616969624759
uniform,-0.5,full,zero,1,0.07690033906918137,0.07690033906918137,0.9230996609308186,0.9230996609308186
lognormal,-0.5,full,zero,1,0.07715942632661676,0.07715942632661676,0.9228405736733832,0.9228405736733832
normal,0.0,full,zero,1,0.07927281527867713,0.07927281527867713,0.9207271847213229,0.9207271847213229
logit,-0.5,partial,zero,1,0.07928269989195591,0.07928269989195591,0.9207173001080441,0.9207173001080441
logit,-0.5,none,zero,1,0.0798181875002204,0.0798181875002204,0.9201818124997796,0.9201818124997796
uniform,0.0,full,zero,1,0.08137161812287619,0.08137161812287619,0.9186283818771238,0.9186283818771238
normal,-0.5,full,zero,1,0.08876340499589586,0.08876340499589586,0.9112365950041041,0.9112365950041041
normal,0.5,none,zero,1,0.09240620986281523,0.09240620986281523,0.9075937901371848,0.9075937901371848
normal,0.0,partial,zero,1,0.0944751968767985,0.0944751968767985,0.9055248031232015,0.9055248031232015
normal,0.5,partial,zero,1,0.09646432515657766,0.09646432515657766,0.9035356748434223,0.9035356748434223
normal,-0.5,partial,hvhm,1,0.09718754961407838,0.09718754961407838,0.9028124503859216,0.9028124503859216
normal,-0.5,partial,zero,1,0.10154263079620385,0.10154263079620385,0.8984573692037962,0.8984573692037962
uniform,0.5,partial,zero,1,0.10703148045496358,0.10703148045496358,0.8929685195450364,0.8929685195450364
lognormal,0.0,partial,zero,1,0.10781728448423955,0.10781728448423955,0.8921827155157604,0.8921827155157604
normal,-0.5,partial,hvlm,1,0.10863840852959317,0.10863840852959317,0.8913615914704068,0.8913615914704068
lognormal,0.0,none,zero,1,0.11143729208521413,0.11143729208521413,0.8885627079147859,0.8885627079147859
logit,0.0,partial,zero,1,0.11299529651628315,0.11299529651628315,0.8870047034837168,0.8870047034837168
exponential,0.5,full,zero,1,0.11459221450113444,0.11459221450113444,0.8854077854988656,0.8854077854988656
normal,-0.5,none,zero,1,0.11826155125003934,0.11826155125003934,0.8817384487499607,0.8817384487499607
uniform,-0.5,partial,zero,1,0.11834721557403538,0.11834721557403538,0.8816527844259646,0.8816527844259646
normal,0.5,full,zero,1,0.11851454919319915,0.11851454919319915,0.8814854508068009,0.8814854508068009
lognormal,-0.5,none,zero,1,0.12175851866528986,0.12175851866528986,0.8782414813347101,0.8782414813347101
exponential,0.5,none,zero,1,0.12338875414903894,0.12338875414903894,0.8766112458509611,0.8766112458509611
logit,0.5,none,hvlm,1,0.12810212534246146,0.12810212534246146,0.8718978746575385,0.8718978746575385
normal,-0.5,none,hvlm,1,0.1282696195376154,0.1282696195376154,0.8717303804623846,0.8717303804623846
uniform,-0.5,none,hvlm,1,0.12940999538871834,0.12940999538871834,0.8705900046112817,0.8705900046112817
logit,0.0,full,hvhm,1,0.1336963065337361,0.1336963065337361,0.8663036934662639,0.8663036934662639
logit,0.0,partial,hvlm,1,0.13758442674682947,0.13758442674682947,0.8624155732531705,0.8624155732531705
normal,0.0,none,zero,1,0.13782300292008776,0.13782300292008776,0.8621769970799122,0.8621769970799122
exponential,0.0,none,hvlm,1,0.14135303319293335,0.14135303319293335,0.8586469668070666,0.8586469668070666
logit,0.5,full,hvhm,1,0.14518639925992105,0.14518639925992105,0.854813600740079,0.854813600740079
logit,-0.5,full,hvlm,1,0.1470852722810988,0.1470852722810988,0.8529147277189012,0.8529147277189012
normal,0.0,full,hvlm,1,0.1547503051723388,0.1547503051723388,0.8452496948276612,0.8452496948276612
uniform,-0.5,none,zero,1,0.15635687923640174,0.15635687923640174,0.8436431207635983,0.8436431207635983
logit,0.0,none,zero,1,0.15812913943560003,0.15812913943560003,0.8418708605644,0.8418708605644
logit,0.5,none,hvhm,1,0.16320828408389476,0.16320828408389476,0.8367917159161052,0.8367917159161052
normal,-0.5,full,hvlm,1,0.16661252156603346,0.16661252156603346,0.8333874784339665,0.8333874784339665
logit,-0.5,partial,hvlm,1,0.1674590309704833,0.1674590309704833,0.8325409690295167,0.8325409690295167
lognormal,0.5,none,zero,1,0.16756092400090394,0.16756092400090394,0.8324390759990961,0.8324390759990961
logit,-0.5,none,hvlm,1,0.1686651910804109,0.1686651910804109,0.8313348089195891,0.8313348089195891
normal,0.5,full,hvhm,1,0.17051571424178158,0.17051571424178158,0.8294842857582184,0.8294842857582184
normal,-0.5,full,hvhm,1,0.17543471506743058,0.17543471506743058,0.8245652849325694,0.8245652849325694
logit,-0.5,partial,hvhm,1,0.17743811221334893,0.17743811221334893,0.8225618877866511,0.8225618877866511
uniform,0.5,none,hvlm,1,0.18597128390389572,0.18597128390389572,0.8140287160961043,0.8140287160961043
uniform,0.5,none,zero,1,0.1870688236748701,0.1870688236748701,0.8129311763251299,0.8129311763251299
normal,0.5,partial,hvlm,1,0.18893632919614956,0.18893632919614956,0.8110636708038504,0.8110636708038504
uniform,-0.5,full,hvlm,1,0.1951016473873043,0.1951016473873043,0.8048983526126957,0.8048983526126957
uniform,0.0,full,hvlm,1,0.19565920800848935,0.19565920800848935,0.8043407919915107,0.8043407919915107
logit,0.0,full,hvlm,1,0.1962132182731411,0.1962132182731411,0.8037867817268589,0.8037867817268589
logit,0.5,partial,hvlm,1,0.19628966196573838,0.19628966196573838,0.8037103380342616,0.8037103380342616
lognormal,0.5,partial,hvlm,1,0.19731275899467082,0.19731275899467082,0.8026872410053292,0.8026872410053292
uniform,0.5,full,hvlm,1,0.20166672585486634,0.20166672585486634,0.7983332741451337,0.7983332741451337
logit,0.5,full,hvlm,1,0.20420487139548915,0.20420487139548915,0.7957951286045108,0.7957951286045108
