bundle_id,bundle_binary,bundle_size,selected_segment_count,selected_customer_weight,avg_price,instance_count,customer_share,cumulative_customer_share
1023,1111111111,10,29,0.027951,2.403347,28,0.027951,0.027951
1007,1111101111,9,14,0.018600,2.312486,14,0.018600,0.046551
1015,1111110111,9,14,0.017450,2.305510,13,0.017450,0.064001
895,1101111111,9,14,0.016077,2.320827,13,0.016077,0.080078
511,0111111111,9,15,0.015769,2.310194,15,0.015769,0.095847
1019,1111111011,9,16,0.014877,2.312938,14,0.014877,0.110724
959,1110111111,9,13,0.013138,2.330866,13,0.013138,0.123862
1021,1111111101,9,15,0.012756,2.304263,15,0.012756,0.136618
766,1011111110,8,10,0.012713,2.240252,10,0.012713,0.149331
767,1011111111,9,10,0.011142,2.399005,10,0.011142,0.160473
991,1111011111,9,9,0.010621,2.340382,9,0.010621,0.171093
987,1111011011,8,8,0.010054,2.212275,8,0.010054,0.181147
1022,1111111110,9,9,0.009878,2.348767,9,0.009878,0.191025
1018,1111111010,8,9,0.009796,2.201009,8,0.009796,0.200822
975,1111001111,8,9,0.009455,2.222342,9,0.009455,0.210276
507,0111111011,8,8,0.008911,2.193236,8,0.008911,0.219187
447,0110111111,8,7,0.008839,2.159595,7,0.008839,0.228026
887,1101110111,8,8,0.007956,2.235611,8,0.007956,0.235981
894,1101111110,8,7,0.007627,2.178130,7,0.007627,0.243608
503,0111110111,8,7,0.007422,2.188958,7,0.007422,0.251031
951,1110110111,8,4,0.007362,2.245426,4,0.007362,0.258393
638,1001111110,7,6,0.006959,2.047343,6,0.006959,0.265352
927,1110011111,8,7,0.006791,2.125146,7,0.006791,0.272143
751,1011101111,8,7,0.006488,2.256514,7,0.006488,0.278631
831,1100111111,8,7,0.006485,2.204173,7,0.006485,0.285116
1020,1111111100,8,7,0.006473,2.177523,7,0.006473,0.291588
957,1110111101,8,5,0.006468,2.229215,5,0.006468,0.298056
955,1110111011,8,6,0.006273,2.238510,6,0.006273,0.304330
863,1101011111,8,8,0.006241,2.194039,8,0.006241,0.310570
765,1011111101,8,7,0.006108,2.183607,7,0.006108,0.316678
759,1011110111,8,5,0.006035,2.204623,5,0.006035,0.322713
1003,1111101011,8,6,0.006012,2.159079,5,0.006012,0.328725
509,0111111101,8,9,0.005819,2.217439,8,0.005819,0.334543
479,0111011111,8,6,0.005796,2.261054,6,0.005796,0.340339
1005,1111101101,8,5,0.005732,2.196111,4,0.005732,0.346071
607,1001011111,7,4,0.005662,2.092152,4,0.005662,0.351734
1009,1111110001,7,4,0.005573,2.059877,4,0.005573,0.357307
255,0011111111,8,5,0.005405,2.231945,4,0.005405,0.362711
1014,1111110110,8,5,0.005320,2.218305,5,0.005320,0.368032
492,0111101100,6,4,0.005282,1.936584,4,0.005282,0.373314
815,1100101111,7,5,0.005260,2.074548,5,0.005260,0.378574
