n,instance_index,instance_id,seed,dist_family,rho,heterogeneity,cost_scenario,method,experiment_scope,k_in,k_out,time_limit,mip_gap_target,solver_status,status_text,feasible,solver_runtime,wall_time,mip_gap,objective_raw,revenue_in_sample,revenue_out_sample,ratio_out_in,drop,bundle_space_size,bundle_price_count_full,used_cache,instance_path,result_path,log_path,error_message
5,1,cpbsd_instance_001_N5_K50_logit_rho0.5_partial_zero,20809306,logit,0.5,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,2.2989790439605713,2.2990610599517822,0.0033334498232114934,14.999235107192376,14.999235107192588,14.641931697241036,0.9761785579465839,0.023821442053416075,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho0.5_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.5_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.5_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_logit_rho0.5_full_zero,20812306,logit,0.5,full,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,1.5503959655761719,1.550464153289795,0.0009097732332833905,25.694233107466992,25.694233107467472,25.013869675126948,0.9735207729495227,0.02647922705047734,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho0.5_full_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.5_full_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.5_full_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_zero,20791306,logit,-0.5,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,1.2032990455627441,1.2033467292785645,0.0036602700198576183,16.096406269815343,16.096406269815365,15.486439231812145,0.9621053899995644,0.03789461000043559,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,20803306,logit,0.0,full,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,1.1482939720153809,1.1483991146087646,0.004734261550804101,26.29402568861874,26.294025688618753,25.273451331351836,0.9611860743823389,0.03881392561766106,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_zero,20875306,uniform,-0.5,full,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,1.5503149032592773,1.5503439903259277,0.009106925525692125,25.58668249308432,25.586682493084325,24.473018915731608,0.9564748740813225,0.04352512591867752,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_zero,20845306,normal,-0.5,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,1.1234400272369385,1.1234748363494873,0.009266247006564537,15.65093467746729,15.655050701401366,14.684530196790694,0.938005917507262,0.06199408249273797,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_normal_rho0.5_partial_zero,20863306,normal,0.5,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,3.8458268642425537,3.8458669185638428,0.007113730077534944,14.238538867851142,14.23853886785113,13.295107751412186,0.9337410161818572,0.06625898381814277,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_normal_rho0.5_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_normal_rho0.5_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_normal_rho0.5_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_zero,20815306,lognormal,-0.5,none,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,65.47292804718018,65.47307705879211,0.009517575806641688,3.7075608845103494,3.7075608845103454,3.455296760434298,0.9319595464689546,0.06804045353104538,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_zero,20818306,lognormal,-0.5,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,9,TIME_LIMIT,True,300.25269389152527,300.25289011001587,0.013548042097092348,12.072636243207322,12.07263624320734,11.239922674581226,0.9310247114341212,0.06897528856587876,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_logit_rho0.0_partial_zero,20800306,logit,0.0,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,2.5766680240631104,2.576746940612793,0.00835158238933448,15.602255481976494,15.611766021462937,14.481957247682931,0.927630943723679,0.07236905627632095,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_partial_zero__mb.solver.log,
