COMMAND:
/Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py --instance /Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n10/cpbsd_instance_001_N10_K50_logit_rho0.5_full_hvhm.msgpack --method mb --time-limit 300.0 --mip-gap 0.01 --output-flag 0 --save-json /Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n10/cpbsd_instance_001_N10_K50_logit_rho0.5_full_hvhm__mb.json

/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:300: RuntimeWarning: divide by zero encountered in matmul
  bundle_cost = (assortments @ c_n).reshape(1, -1)
/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:300: RuntimeWarning: overflow encountered in matmul
  bundle_cost = (assortments @ c_n).reshape(1, -1)
/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:300: RuntimeWarning: invalid value encountered in matmul
  bundle_cost = (assortments @ c_n).reshape(1, -1)
/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:302: RuntimeWarning: divide by zero encountered in matmul
  revenues = v_kn @ assortments.T
/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:302: RuntimeWarning: overflow encountered in matmul
  revenues = v_kn @ assortments.T
/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:302: RuntimeWarning: invalid value encountered in matmul
  revenues = v_kn @ assortments.T
Set parameter LicenseID to value 2784353
/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:77: RuntimeWarning: divide by zero encountered in matmul
  bundle_cost = assortments @ c_n
/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:77: RuntimeWarning: overflow encountered in matmul
  bundle_cost = assortments @ c_n
/Users/sensen/.openclaw/workspace/domains/revenue-management/project-root/code_submission_project/code_submission/src/data/solve_mb_bsp_on_cpbsd_v2.py:77: RuntimeWarning: invalid value encountered in matmul
  bundle_cost = assortments @ c_n
{
  "solver_status": 9,
  "feasible": true,
  "mb_formulation_version": 6,
  "runtime": 300.56410121917725,
  "wall_time": 300.57134318351746,
  "mip_gap": 0.1414988067424086,
  "objective": 2.4587638069917688,
  "revenue_in_sample": 2.4712266675896903,
  "model_num_vars": 205673,
  "model_num_binvars": 51150,
  "model_num_constrs": 935846,
  "bundle_space_size": 1024,
  "subadditivity_mode": "full_partition",
  "policy_scope": "full_bundle_prices",
  "bundle_prices": {
    "127": 49.48240010612504,
    "207": 41.582907112378805,
    "255": 52.12702614521971,
    "397": 30.35128341768618,
    "511": 54.14018617405074,
    "515": 20.46187949417273,
    "573": 37.64131459009422,
    "607": 45.47738744137462,
    "622": 34.35940565577646,
    "639": 50.23758919804324,
    "642": 13.196045411428159,
    "693": 33.2149568524045,
    "767": 52.969594967155444,
    "814": 32.44918016388465,
    "895": 52.28304778844016,
    "919": 39.43836089507597,
    "987": 42.143109375934145,
    "1022": 45.55070290483381,
    "1023": 54.89316006116415
  },
  "bundle_prices_full": {
    "0": 0.0,
    "1": 58.182434365803815,
    "2": 58.182434365803786,
    "3": 58.182434365803786,
    "4": 58.182434365803786,
    "5": 58.182434365803786,
    "6": 58.182434365803786,
    "7": 58.182434365803786,
    "8": 58.182434365803815,
    "9": 58.182434365803786,
    "10": 58.182434365803786,
    "11": 58.182434365803786,
    "12": 58.182434365803786,
    "13": 58.182434365803786,
    "14": 58.182434365803786,
    "15": 58.182434365803786,
    "16": 58.182434365803815,
    "17": 58.182434365803786,
    "18": 58.182434365803786,
    "19": 58.182434365803786,
    "20": 58.182434365803786,
    "21": 58.182434365803786,
    "22": 58.182434365803786,
    "23": 58.182434365803786,
    "24": 58.18243436580381,
    "25": 58.182434365803786,
    "26": 58.182434365803786,
    "27": 58.182434365803786,
    "28": 58.182434365803786,
    "29": 58.182434365803786,
    "30": 58.182434365803786,
    "31": 58.182434365803786,
    "32": 58.182434365803786,
    "33": 58.182434365803786,
    "34": 58.182434365803786,
    "35": 58.182434365803786,
    "36": 58.182434365803786,
    "37": 58.182434365803786,
    "38": 39.79118978944064,
    "39": 33.435404554548796,
    "40": 58.182434365803815,
    "41": 58.182434365803786,
    "42": 58.182434365803786,
    "43": 58.182434365803786,
    "44": 58.182434365803786,
    "45": 58.182434365803786,
    "46": 58.182434365803786,
    "47": 40.4405892847128,
    "48": 58.182434365803786,
    "49": 58.182434365803786,
    "50": 58.182434365803786,
    "51": 58.182434365803786,
    "52": 58.18243436580379,
    "53": 58.182434365803786,
    "54": 39.79118978944065,
    "55": 39.58940843045947,
    "56": 58.182434365803815,
    "57": 58.18243436580379,
    "58": 58.182434365803786,
    "59": 58.182434365803786,
    "60": 58.182434365803786,
    "61": 58.182434365803786,
    "62": 58.182434365803786,
