N,setting,method,instances,avg_rev_in,avg_rev_oos,avg_runtime_s
10,logit_rho0.0_full_hvhm,BSP,5,2.8427430353765035,2.53344789327033,7.590514135360718
10,logit_rho0.0_full_hvhm,CPBSD-A,5,2.8405241114252258,2.596099347267961,300.17016677856446
10,logit_rho0.0_full_hvhm,FCP-pruned-MB,5,2.8794518861499205,2.523432951939025,164.87636675834656
10,normal_rho0.0_full_hvhm,BSP,5,2.721146421692656,2.3469592406103734,10.746188068389893
10,normal_rho0.0_full_hvhm,CPBSD-A,5,3.2091189232510557,2.847967731893138,300.1895469665527
10,normal_rho0.0_full_hvhm,FCP-pruned-MB,5,3.2555239070156774,2.27826276721487,239.9667568206787
10,normal_rho0.0_full_zero,BSP,5,51.99647608895983,50.08128258162015,0.7184198379516602
10,normal_rho0.0_full_zero,CPBSD-A,5,52.00942882216007,50.00945602255003,2.0482619762420655
10,normal_rho0.0_full_zero,FCP-pruned-MB,5,52.0523527040181,49.72421899640123,2.6280860900878906
10,normal_rho0.5_full_hvhm,BSP,5,2.7057146034724378,2.1384292100160476,6.954737377166748
10,normal_rho0.5_full_hvhm,CPBSD-A,5,2.8665358387707216,2.3486569336544685,300.20017313957214
10,normal_rho0.5_full_hvhm,FCP-pruned-MB,5,3.085681338837681,2.07506644551489,117.18573532104492
30,logit_rho0.0_full_hvhm,BSP,5,9.506754561620088,8.60136300803791,51.697910976409915
30,logit_rho0.0_full_hvhm,CPBSD-A,5,9.563210356422552,9.002123937027942,600.5983249187469
30,logit_rho0.0_full_hvhm,FCP-pruned-MB,5,9.594901451853197,7.816935483431434,580.6218907356263
30,normal_rho0.0_full_hvhm,BSP,5,9.239469469984936,8.046569984664554,208.06324124336243
30,normal_rho0.0_full_hvhm,CPBSD-A,5,10.673618033940507,9.909866512640809,600.4776034832
30,normal_rho0.0_full_hvhm,FCP-pruned-MB,5,11.982219315915724,4.908229653682359,6.6361524105072025
30,normal_rho0.0_full_zero,BSP,5,159.00846965634386,156.28219635699242,1.722247552871704
30,normal_rho0.0_full_zero,CPBSD-A,5,159.0510942360907,154.96796584424675,600.2431586742401
30,normal_rho0.0_full_zero,FCP-pruned-MB,5,157.0804430413686,148.94709891732927,14.621924018859863
30,normal_rho0.5_full_hvhm,BSP,5,8.401760677280956,6.97566346116596,323.86810607910155
30,normal_rho0.5_full_hvhm,CPBSD-A,5,9.393233382078185,8.581438765941389,600.5398450374603
30,normal_rho0.5_full_hvhm,FCP-pruned-MB,5,10.525253088289158,5.618985809047832,35.70132398605347
