sample,customer_id,bsp_purchased,bsp_size,bsp_price,bsp_value,bsp_cost,bsp_surplus,bsp_profit,bsp_bundle,bsp_items,bsp_bundle_in_fcp_menu,fcp_purchased,fcp_bundle_idx,fcp_size,fcp_price,fcp_value,fcp_cost,fcp_surplus,fcp_profit,fcp_bundle,fcp_items,same_purchase_decision,same_bundle,same_size,bsp_purchase_fcp_no_purchase,profit_gap_bsp_minus_fcp,surplus_gap_bsp_minus_fcp,fcp_size_support
in_sample,0,0,0,0.0,0.0,0.0,0.0,0.0,0000000000,,0,0,-1,0,0.0,0.0,0.0,0.0,0.0,0000000000,,1,1,1,0,0.0,0.0,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,1,1,10,54.48899733449856,55.95321406221038,51.0,1.4642167277118148,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,36,10,55.22876648022058,55.95321406221038,51.0,0.7244475819898,4.228766480220578,1111111111,"0,1,2,3,4,5,6,7,8,9",1,1,1,0,-0.7397691457220148,0.7397691457220148,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,2,1,10,54.48899733449856,55.30574172682401,51.0,0.8167443923254467,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,1,2,0",1,1,30,9,52.90824224912286,53.048772826815934,48.288888888888884,0.14053057769307742,4.619353360233973,1101111111,"0,1,3,4,5,6,7,8,9",1,0,0,0,-1.1303560257354093,0.6762138146323693,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,3,1,9,53.56580450400532,54.71315361775933,50.199999999999996,1.1473491137540108,3.3658045040053253,0111111111,"9,8,7,6,5,4,3,2,1",1,1,19,8,50.47990975988662,50.826652665400076,46.53333333333333,0.34674290551345877,3.9465764265532854,0110111111,"1,2,4,5,6,7,8,9",1,0,0,0,-0.5807719225479602,0.8006062082405521,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,4,1,3,27.322818578787235,27.322818578787242,25.333333333333336,7.105427357601002e-15,1.9894852454538992,0000000111,"9,8,7",0,1,25,5,31.304130794150158,31.304130794150154,27.888888888888893,-3.552713678800501e-15,3.415241905261265,1100000111,"0,1,7,8,9",1,0,0,0,-1.4257566598073659,1.0658141036401503e-14,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,5,1,9,53.56580450400532,54.417424079696694,50.199999999999996,0.8516195756913731,3.3658045040053253,0111111111,"9,8,7,6,5,4,3,2,1",1,1,23,7,41.86179206468678,42.10070666818058,38.08888888888889,0.23891460349379656,3.772903175797893,0111100111,"1,2,3,4,7,8,9",1,0,0,0,-0.40709867179256776,0.6127049721975766,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,6,0,0,0.0,0.0,0.0,0.0,0.0,0000000000,,0,1,3,6,43.36190215449638,43.621932205447735,40.15555555555555,0.26003005095135734,3.2063465989408257,0010011111,"2,5,6,7,8,9",0,0,0,0,-3.2063465989408257,-0.26003005095135734,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,7,1,3,27.322818578787235,27.41772096118882,25.333333333333336,0.09490238240158533,1.9894852454538992,0000000111,"9,8,7",0,1,2,3,22.52281436581547,22.52281436581547,20.555555555555557,0.0,1.9672588102599136,0010000011,"2,8,9",1,0,1,0,0.022226435193985594,0.09490238240158533,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,8,1,6,45.037073206030065,45.037073206030094,42.06666666666666,2.842170943040401e-14,2.9704065393634025,0000111111,"9,8,7,6,5,4",0,1,32,9,51.12435294800897,51.171637561708465,47.33333333333333,0.04728461369949599,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.820613075312238,-0.04728461369946757,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,9,1,10,54.48899733449856,55.282381185848635,51.0,0.7933838513500717,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,32,9,51.12435294800897,51.51364928626372,47.33333333333333,0.3892963382547521,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,0.40408751309531965,"0,1,2,3,4,5,6,7,8,9,10"
